storage_class,block_size,read_mb_s,read_iops,write_mb_s,write_iops,total_mb_s,total_iops
freenas-nfs-cold-csi,4k,1.51,369,1.54,375,3.05,744
freenas-nfs-cold-csi,64k,1.69,25,1.86,28,3.55,53
freenas-nfs-cold-csi,512k,15.13,28,16.55,31,31.68,59
freenas-nfs-cold-csi,1m,92.75,88,98.93,94,191.69,182
freenas-nfs-fast-csi,4k,33.94,8286,33.99,8299,67.94,16585
freenas-nfs-fast-csi,64k,361.74,5519,363.64,5548,725.38,11067
freenas-nfs-fast-csi,512k,933.47,1780,983.07,1875,1916.54,3655
freenas-nfs-fast-csi,1m,1007.41,960,1074.50,1024,2081.90,1984
freenas-nfs-ssd-csi,4k,10.55,2576,10.59,2584,21.14,5160
freenas-nfs-ssd-csi,64k,116.11,1771,116.72,1781,232.84,3552
freenas-nfs-ssd-csi,512k,343.16,654,361.39,689,704.55,1343
freenas-nfs-ssd-csi,1m,381.47,363,406.88,388,788.36,751
freenas-nvmeof-cold-csi,4k,311.59,76071,312.41,76271,624.00,152342
freenas-nvmeof-cold-csi,64k,1287.94,19652,1294.72,19755,2582.66,39407
freenas-nvmeof-cold-csi,512k,1631.75,3112,1718.45,3277,3350.21,6389
freenas-nvmeof-cold-csi,1m,319.49,304,340.77,324,660.26,628
freenas-nvmeof-fast-csi,4k,321.49,78488,322.34,78695,643.83,157183
freenas-nvmeof-fast-csi,64k,1082.83,16522,1088.53,16609,2171.37,33131
freenas-nvmeof-fast-csi,512k,1216.23,2319,1280.85,2443,2497.07,4762
freenas-nvmeof-fast-csi,1m,1534.92,1463,1637.14,1561,3172.06,3024
freenas-nvmeof-ssd-csi,4k,332.61,81203,333.49,81417,666.09,162620
freenas-nvmeof-ssd-csi,64k,1130.86,17255,1136.81,17346,2267.67,34601
freenas-nvmeof-ssd-csi,512k,1682.95,3209,1772.37,3380,3455.32,6589
freenas-nvmeof-ssd-csi,1m,1667.96,1590,1779.04,1696,3447.00,3286
